H1_Start,H2_Start,Direction,H1_High,H1_Low,H2_Open,Sweep_Time,Return_Time,Worked
2018-02-05 14:00:00,2018-02-05 15:00:00,Up,7708.85568,7531.36726,7538.037577,2018-02-05 15:00:00,N/A,False
2018-02-05 21:00:00,2018-02-05 22:00:00,Up,7377.079941,7317.917135,7330.097713,2018-02-05 22:11:00,N/A,False
2018-02-05 22:00:00,2018-02-05 23:00:00,Down,7337.928084,7262.234493,7323.137382,2018-02-05 23:05:00,N/A,False
2018-02-06 00:00:00,2018-02-06 01:00:00,Down,7464.95411,7406.951358,7425.512239,2018-02-06 01:03:00,2018-02-06 01:47:00,True
2018-02-06 01:00:00,2018-02-06 02:00:00,Down,7511.356311,7414.201702,7468.724289,2018-02-06 02:07:00,N/A,False
2018-02-06 02:00:00,2018-02-06 03:00:00,Down,7555.438402,7454.803628,7545.867948,2018-02-06 03:08:00,2018-02-06 03:20:00,True
2018-02-06 03:00:00,2018-02-06 04:00:00,Up,7585.599833,7502.365884,7512.516366,2018-02-06 04:03:00,2018-02-06 04:37:00,True
2018-02-06 04:00:00,2018-02-06 05:00:00,Up,7527.597081,7460.023876,7508.16616,2018-02-06 05:07:00,N/A,False
2018-02-06 05:00:00,2018-02-06 06:00:00,Up,7509.036201,7379.690065,7391.870643,2018-02-06 06:00:00,2018-02-06 06:20:00,True
2018-02-06 07:00:00,2018-02-06 08:00:00,Down,7476.264646,7379.110038,7474.524564,2018-02-06 08:00:00,2018-02-06 08:20:00,True
2018-02-06 10:00:00,2018-02-06 11:00:00,Down,7566.168911,7478.004729,7538.617604,2018-02-06 11:06:00,N/A,False
2018-02-06 12:00:00,2018-02-06 13:00:00,Up,7626.491772,7538.907618,7546.737989,2018-02-06 13:09:00,2018-02-06 13:21:00,True
2018-02-06 13:00:00,2018-02-06 14:00:00,Down,7667.96374,7521.796806,7660.133368,2018-02-06 14:00:00,2018-02-06 14:22:00,True
